Dated: 18 Feb, 2020
Author: Satish Patel


Id, Problem Title

200,Number of Islands
2,Add Two Numbers
146,LRU Cache
1192,Critical Connections in a Network
42,Trapping Rain Water
5,Longest Palindromic Substring
21,Merge Two Sorted Lists
4,Median of Two Sorted Arrays
20,Valid Parentheses
53,Maximum Subarray
202,Happy Number
3,Longest Substring Without Repeating Characters
15,3Sum
138,Copy List with Random Pointer
23,Merge k Sorted Lists
238,Product of Array Except Self
1007,Minimum Domino Rotations For Equal Row
56,Merge Intervals
273,Integer to English Words
121,Best Time to Buy and Sell Stock
269,Alien Dictionary
76,Minimum Window Substring
206,Reverse Linked List
297,Serialize and Deserialize Binary Tree
289,Game of Life
560,Subarray Sum Equals K
33,Search in Rotated Sorted Array
253,Meeting Rooms II
973,K Closest Points to Origin
322,Coin Change
22,Generate Parentheses
937,Reorder Data in Log Files
68,Text Justification
54,Spiral Matrix
994,Rotting Oranges
49,Group Anagrams
301,Remove Invalid Parentheses
139,Word Break
380,Insert Delete GetRandom O(1)
124,Binary Tree Maximum Path Sum
85,Maximal Rectangle
240,Search a 2D Matrix II
11,Container With Most Water
1130,Minimum Cost Tree From Leaf Values
166,Fraction to Recurring Decimal
953,Verifying an Alien Dictionary
91,Decode Ways
981,Time Based Key-Value Store
17,Letter Combinations of a Phone Number
31,Next Permutation
127,Word Ladder
332,Reconstruct Itinerary
642,Design Search Autocomplete System
394,Decode String
10,Regular Expression Matching
609,Find Duplicate File in System
79,Word Search
41,First Missing Positive
336,Palindrome Pairs
759,Employee Free Time
1181,Before and After Puzzle
735,Asteroid Collision
539,Minimum Time Difference
547,Friend Circles
7,Reverse Integer
1048,Longest String Chain
88,Merge Sorted Array
46,Permutations
221,Maximal Square
295,Find Median from Data Stream
215,Kth Largest Element in an Array
780,Reaching Points
741,Cherry Pickup
218,The Skyline Problem
572,Subtree of Another Tree
212,Word Search II
364,Nested List Weight Sum II
140,Word Break II
430,Flatten a Multilevel Doubly Linked List
412,Fizz Buzz
25,Reverse Nodes in k-Group
199,Binary Tree Right Side View
93,Restore IP Addresses
